CMDLINE /usr/bin/python3 tests/cpu_test.py
MEM 0.375000 1729542761.5144
MEM 22.632812 1729542761.6148
MEM 22.632812 1729542761.7153
MEM 22.632812 1729542761.8161
MEM 22.632812 1729542761.9169
MEM 22.632812 1729542762.0176
MEM 22.632812 1729542762.1181
MEM 22.632812 1729542762.2186
MEM 22.632812 1729542762.3194
MEM 22.632812 1729542762.4202
MEM 22.632812 1729542762.5211
MEM 22.632812 1729542762.6219
MEM 22.632812 1729542762.7224
MEM 22.632812 1729542762.8227
MEM 22.632812 1729542762.9231
MEM 22.632812 1729542763.0236
MEM 22.632812 1729542763.1240
MEM 22.632812 1729542763.2245
MEM 22.632812 1729542763.3250
MEM 22.632812 1729542763.4255
MEM 22.632812 1729542763.5264
MEM 22.632812 1729542763.6268
MEM 22.632812 1729542763.7273
MEM 22.632812 1729542763.8280
MEM 22.632812 1729542763.9285
MEM 22.632812 1729542764.0292
MEM 22.632812 1729542764.1299
MEM 22.632812 1729542764.2308
MEM 22.632812 1729542764.3316
MEM 22.632812 1729542764.4321
MEM 22.632812 1729542764.5328
MEM 22.632812 1729542764.6336
MEM 22.632812 1729542764.7344
MEM 22.632812 1729542764.8352
MEM 22.632812 1729542764.9357
MEM 22.632812 1729542765.0362
MEM 22.632812 1729542765.1369
MEM 22.632812 1729542765.2377
MEM 22.632812 1729542765.3382
MEM 22.632812 1729542765.4386
MEM 22.632812 1729542765.5394
MEM 22.632812 1729542765.6400
MEM 22.632812 1729542765.7405
MEM 22.632812 1729542765.8413
MEM 22.632812 1729542765.9421
MEM 22.632812 1729542766.0429
MEM 22.632812 1729542766.1434
MEM 22.632812 1729542766.2444
MEM 22.632812 1729542766.3453
MEM 22.632812 1729542766.4459
MEM 22.632812 1729542766.5465
MEM 22.632812 1729542766.6473
MEM 22.632812 1729542766.7477
MEM 22.632812 1729542766.8482
MEM 22.632812 1729542766.9487
MEM 22.632812 1729542767.0492
MEM 22.632812 1729542767.1497
MEM 22.632812 1729542767.2501
MEM 22.632812 1729542767.3506
MEM 22.632812 1729542767.4511
MEM 22.632812 1729542767.5519
MEM 22.632812 1729542767.6524
MEM 22.632812 1729542767.7527
MEM 22.632812 1729542767.8532
MEM 22.632812 1729542767.9537
MEM 22.632812 1729542768.0544
MEM 22.632812 1729542768.1548
MEM 22.632812 1729542768.2552
MEM 22.632812 1729542768.3557
MEM 22.632812 1729542768.4563
MEM 22.632812 1729542768.5569
MEM 22.632812 1729542768.6573
MEM 22.632812 1729542768.7581
MEM 22.632812 1729542768.8584
MEM 22.632812 1729542768.9592
MEM 22.632812 1729542769.0597
MEM 22.632812 1729542769.1603
MEM 22.632812 1729542769.2609
MEM 22.632812 1729542769.3616
MEM 22.632812 1729542769.4623
MEM 22.632812 1729542769.5629
MEM 22.632812 1729542769.6632
MEM 22.632812 1729542769.7636
MEM 22.632812 1729542769.8640
MEM 22.632812 1729542769.9643
MEM 22.632812 1729542770.0647
MEM 22.632812 1729542770.1651
MEM 22.632812 1729542770.2656
MEM 22.632812 1729542770.3663
MEM 22.632812 1729542770.4671
MEM 22.632812 1729542770.5679
MEM 22.632812 1729542770.6686
MEM 22.632812 1729542770.7689
MEM 22.632812 1729542770.8701
MEM 22.632812 1729542770.9704
MEM 22.632812 1729542771.0707
MEM 22.632812 1729542771.1712
MEM 22.632812 1729542771.2720
MEM 22.632812 1729542771.3727
MEM 22.632812 1729542771.4732
MEM 22.632812 1729542771.5740
MEM 22.632812 1729542771.6744
MEM 22.632812 1729542771.7752
MEM 22.632812 1729542771.8760
MEM 22.632812 1729542771.9767
MEM 22.632812 1729542772.0772
MEM 22.632812 1729542772.1780
MEM 22.632812 1729542772.2788
MEM 22.632812 1729542772.3792
MEM 22.632812 1729542772.4800
MEM 22.632812 1729542772.5809
MEM 22.632812 1729542772.6813
MEM 22.632812 1729542772.7820
MEM 22.632812 1729542772.8824
MEM 22.632812 1729542772.9832
MEM 22.632812 1729542773.0840
MEM 22.632812 1729542773.1848
MEM 22.632812 1729542773.2853
